stop	latitude	longitude
Duszniki Zdrój,ZEM	50.40586	16.38686
Szczytna,skrz.	50.41484	16.44858
Polanica Zdrój	50.3986	16.50437
Szalejów Górny	50.42732	16.54829
Klodzko,Kosciuszki (Targowisko)	50.43749	16.64853
Klodzko,dw.aut.	50.43556	16.65899
Smila,AS	49.23131	31.87435
Špola,AS	49.0165	31.40043
Zvenyhorodka,AS	49.07592	30.96495
Talne,AS	48.90308	30.70431
Unkovice,rozc.0.5	49.01552	16.60467
Voznesensk,AS	47.57331	31.32419
Južnoukrajinsk,AS	47.82312	31.17729
Pervomajsk,AS	48.02582	30.85923
Kraków,dw.aut.	50.06729	19.9491
Katowice,Sądowa Dworzec	50.25918	19.01039
Jihlava,M.Beranov,Nové stavení	49.4003	15.63167
Jihlava,V.Beranov,Nové Domky	49.40483	15.64936
Jihlava,V.Beranov,zast.	49.40228	15.6315
Tři Sekery,střed	49.94011	12.61963
Mariánské Lázně,Úšovice,škola	49.95294	12.70989
Čepirohy,okály	50.48623	13.62099
Čepirohy,zahrádkářská kolonie	50.48521	13.62349
Karlovy Vary,Nádraží Dalovice	50.25485	12.8866
Karlovy Vary,Na Pasece	50.25251	12.88242
Frýdek-Místek,Místek,ul.17.listopadu	49.67823	18.33203
Rozkoš,myslivna	49.02952	15.95938
Rozkoš,Kníničky	49.02711	15.93449
Blatnice p.Sv.Antonínkem,křiž.	48.9461	17.46251
Trojanovice,Bystré,u kříže	49.52439	18.27374
Nový Jičín,Bludovice,Fojtství	49.5741	18.02104
Hřensko,CLO	50.88085	14.27008
Vědomice,most	50.43145	14.26278
Chrastava,Andělská Hora,žel.zast.	50.79698	14.95822
Warszawa,dw.Centralny	52.22817	21.00067
Lodz,dw.Kaliska	51.75751	19.43235
Bila Cerkva,AS	49.81158	30.10946
Novohrad-Volynskyj,AS	50.58754	27.60499
Dubno,AS	50.42001	25.74673
Tarnów,dw.PKS	50.00648	20.97312
Nürnberg,ZOB Käte-Strobel-Strasse (Adcom-Center)	49.44781	11.08552
Ingolstadt,Am Nordbahnhof	48.77242	11.43167
München,Arnulfstr.	48.14214	11.55199
Lešná,Lhotka n.Bečvou,Prefa	49.50139	17.93427
Třinec,Horní Líštná,CLO	49.74651	18.63657
Leszna Górna,CLO	49.74651	18.63657
Ustroň,Skrzyzowanie I	49.72218	18.80779
Ustroň,Zdrój	49.72121	18.81536
Ustroň,Zawodzie,Sanatorium	49.72069	18.82435
Ustroň,Polana	49.69625	18.8292
Wisla,dw.aut.	49.65816	18.85529
Wisla,Oaza	49.648	18.8674
Wisla,Labajów,Centrum	49.61203	18.85066
Wisla,Glebce,Kaluza	49.61836	18.88395
Istebna,Kubalonka	49.60353	18.90174
Istebna,Bucznik	49.57429	18.89371
Istebna,Olza	49.57462	18.9055
Istebna,Centrum	49.5637	18.89327
Jaworzynka,Skrzyzowanie	49.52607	18.85773
Jaworzynka,Trzycatek	49.52385	18.85735
Schönefeld,Flughafen Berlin	52.36496	13.51301
Cottbus,Busbahnhof	51.75052	14.32756
Spremberg,Hoyerswerdaer Straße	51.54849	14.37732
Hoyerswerda,Lausitzer Platz	51.43852	14.26324
Wittichenau,Maukendorf Zum See	51.39995	14.2965
Königswartha,Kirchplatz	51.30985	14.32861
Neschwitz,Neudorf B96	51.27561	14.33986
Kleinwelka,Hoyerswerdaer Straße	51.21093	14.39831
Görlitz,Busbahnhof	51.14824	14.97697
Sieniawka,CLO	50.89553	14.84322
Zlín,J.Staši	49.20607	17.59362
Zlín,Jarolímkovo nám.	49.20516	17.59459
Zlín,1.máje	49.20181	17.59543
Zlín,Kamenec I.	49.19908	17.59708
Zlín,Kamenec II.	49.20021	17.59861
Zlín,Pionýrů	49.20174	17.59572
Zlín,Zabrání	49.20371	17.59504
Zlín,Sokolovská	49.20467	17.59085
Zlín,Tyršova	49.20344	17.58362
Zlín,Masarykova	49.33055	17.58314
Zlín,Mlýnská	49.2067	17.5853
Zlín,Sklady	49.20635	17.57924
Velký Osek,ObÚ	50.09895	15.18581
Karviná,Darkov,Karvinské moře	49.83793	18.54632
Krnov,průmyslová zóna II Hájnický potok	50.06047	17.74232
Vysočany,Svobodův mlýn	48.96134	15.6792
Manětín,Na Výhledech	49.97022	13.26315
Jönköping	57.78427	14.16445
Linköping,Bussterminalen	58.40707	15.5899
Norrköping	58.59681	16.1878
Stockholm,Cityterminalen	59.33224	18.0549
Arlanda,Airport Terminal 4 & 5	59.64782	17.92864
Vlkoš,Lidový dům	48.99194	17.16663
Bor,Nová Hospoda,restaurace	49.74683	12.77561
Hnojník,Elpro	49.69656	18.54116
Lično,Podstránský mlýn	50.18064	16.18661
